seed,default_threshold,log_loss,auc_roc,accuracy,precision,recall,f1_score
0,0.5,1.4974170700225617,0.8835129031953508,0.5794992914501653,0.9380281690140845,0.13128326434062684,0.23033027840221337
1,0.5,1.3512656381201784,0.893913296729912,0.5813668114026808,0.9500780031201248,0.12150837988826815,0.21546081726516894
2,0.5,1.3481209150756046,0.8810390453565171,0.6410377358490567,0.8830138797091871,0.26913779210314265,0.4125366682105913
3,0.5,1.3468835106202166,0.8986848413160348,0.5829397317211411,0.9694767441860465,0.13179213594151354,0.23204035484432076
4,0.5,1.2176351471860516,0.9049140683373597,0.5820415879017014,0.9481268011527377,0.13045202220459953,0.22934820494945973
5,0.5,1.4056053744569241,0.8943080719527242,0.5966449910470266,0.9518716577540107,0.14366424535916061,0.2496493688639551
6,0.5,1.5840732485634708,0.8860156285985159,0.5666824420255561,0.9572649572649573,0.10952474085663993,0.19656019656019655
7,0.5,1.5157052967375784,0.887686335214023,0.5791812423182376,0.9623015873015873,0.09863738051657515,0.17893377605607821
8,0.5,1.4768841590726216,0.8999355265896717,0.5776244921099877,0.9751243781094527,0.0807914262159934,0.14921964217738864
9,0.5,1.6234350280756722,0.8668217347891041,0.6322751322751323,0.8902517753389283,0.27033914918643404,0.4147368421052632
