d_model,n_heads,n_layers,dropout,lr,batch_size,accuracy
64,4,2,0.1,0.001,32,0.9766355140186916
32,2,2,0.1,0.001,32,0.9707943925233645
64,4,3,0.1,0.001,32,0.9684579439252337
32,2,3,0.1,0.001,32,0.9672897196261683
32,4,3,0.1,0.001,32,0.9649532710280374
64,4,3,0.2,0.001,32,0.9637850467289719
64,2,3,0.1,0.001,32,0.9614485981308412
32,4,2,0.1,0.001,32,0.9614485981308412
32,4,2,0.2,0.001,32,0.9579439252336449
64,2,3,0.2,0.001,32,0.9567757009345794
32,2,2,0.2,0.001,32,0.955607476635514
32,4,1,0.1,0.001,32,0.955607476635514
64,2,2,0.1,0.001,32,0.955607476635514
64,4,2,0.2,0.001,32,0.9532710280373832
64,2,2,0.2,0.001,32,0.9521028037383178
32,4,3,0.2,0.001,32,0.9509345794392523
64,4,1,0.1,0.001,32,0.9485981308411215
32,2,1,0.1,0.001,32,0.9485981308411215
32,2,3,0.2,0.001,32,0.9485981308411215
64,2,1,0.1,0.001,32,0.947429906542056
64,2,1,0.2,0.001,32,0.9462616822429907
128,4,3,0.1,0.001,32,0.9450934579439252
128,4,2,0.2,0.001,32,0.9450934579439252
64,4,1,0.2,0.001,32,0.9450934579439252
128,4,2,0.1,0.001,32,0.9427570093457944
128,4,1,0.1,0.001,32,0.9415887850467289
128,4,1,0.2,0.001,32,0.9380841121495327
32,4,1,0.2,0.001,32,0.9380841121495327
128,2,1,0.1,0.001,32,0.9369158878504673
128,2,2,0.2,0.001,32,0.9345794392523364
128,4,3,0.2,0.001,32,0.9334112149532711
128,2,2,0.1,0.001,32,0.9334112149532711
32,2,1,0.2,0.001,32,0.9310747663551402
128,2,1,0.2,0.001,32,0.9264018691588785
128,2,3,0.1,0.001,32,0.9240654205607477
128,2,3,0.2,0.001,32,0.9065420560747663
